Text,Date,Duration
Unoltu,2024-03-18 05:39:22.387819,0 days 00:00:00.010306
D,2024-03-18 05:39:22.399532,0 days 00:00:00.213858
mtulun,2024-03-18 05:39:22.614088,0 days 00:00:00.059034
DL,2024-03-18 05:39:22.673799,0 days 00:00:00.206663
LL,2024-03-18 05:39:22.881326,0 days 00:00:00.019332
D,2024-03-18 05:39:22.901301,0 days 00:00:00.091998
Mcllam,2024-03-18 05:39:22.993949,0 days 00:00:00.020090
LLA,2024-03-18 05:39:23.014622,0 days 00:00:00.098113
Moolau ,2024-03-18 05:39:23.113439,0 days 00:00:00.009041
TLLA,2024-03-18 05:39:23.123029,0 days 00:00:00.086520
Ialen,2024-03-18 05:39:23.210272,0 days 00:00:00.020043
HELA,2024-03-18 05:39:23.230864,0 days 00:00:00.071321
HLuA,2024-03-18 05:39:23.302758,0 days 00:00:00.020282
uloLan,2024-03-18 05:39:23.323531,0 days 00:00:00.068459
HLLA,2024-03-18 05:39:23.392556,0 days 00:00:00.018845
uudlan,2024-03-18 05:39:23.411854,0 days 00:00:00.067090
nlu,2024-03-18 05:39:23.479512,0 days 00:00:00.019683
Tu,2024-03-18 05:39:23.499665,0 days 00:00:00.066588
UluLD,2024-03-18 05:39:23.566814,0 days 00:00:00.019635
tbf,2024-03-18 05:39:23.586991,0 days 00:00:00.013962
Tcei,2024-03-18 05:39:23.601413,0 days 00:00:00.066901
Ulolu,2024-03-18 05:39:23.668875,0 days 00:00:00.020675
HuA,2024-03-18 05:39:23.690025,0 days 00:00:00.014077
Hna,2024-03-18 05:39:23.704529,0 days 00:00:00.067104
Fhoru,2024-03-18 05:39:23.772205,0 days 00:00:00.010503
D,2024-03-18 05:39:23.783159,0 days 00:00:00.014058
LAe,2024-03-18 05:39:23.797622,0 days 00:00:00.066632
Hhatun,2024-03-18 05:39:23.864813,0 days 00:00:00.019711
L,2024-03-18 05:39:23.884990,0 days 00:00:00.013879
Mat,2024-03-18 05:39:23.899283,0 days 00:00:00.070474
Thotu,2024-03-18 05:39:23.970320,0 days 00:00:00.019994
Qa,2024-03-18 05:39:23.990780,0 days 00:00:00.013712
LE,2024-03-18 05:39:24.004909,0 days 00:00:00.067312
Hu,2024-03-18 05:39:24.072923,0 days 00:00:00.019615
qatun,2024-03-18 05:39:24.093020,0 days 00:00:00.013775
I,2024-03-18 05:39:24.107215,0 days 00:00:00.067213
Tt,2024-03-18 05:39:24.174996,0 days 00:00:00.019507
MuoLu,2024-03-18 05:39:24.195009,0 days 00:00:00.006855
I,2024-03-18 05:39:24.202261,0 days 00:00:00.056435
Ls,2024-03-18 05:39:24.259301,0 days 00:00:00.019429
Mtoe,2024-03-18 05:39:24.279211,0 days 00:00:00.014815
l,2024-03-18 05:39:24.294750,0 days 00:00:00.068414
Dfl,2024-03-18 05:39:24.363773,0 days 00:00:00.019883
Iuoku,2024-03-18 05:39:24.384216,0 days 00:00:00.007030
TL,2024-03-18 05:39:24.391717,0 days 00:00:00.071265
mnli,2024-03-18 05:39:24.463587,0 days 00:00:00.019551
Tm,2024-03-18 05:39:24.483720,0 days 00:00:00.013817
La,2024-03-18 05:39:24.498046,0 days 00:00:00.062877
L,2024-03-18 05:39:24.561505,0 days 00:00:00.019555
HDoa,2024-03-18 05:39:24.581524,0 days 00:00:00.018665
I,2024-03-18 05:39:24.600647,0 days 00:00:00.066316
04,2024-03-18 05:39:24.667519,0 days 00:00:00.019935
IlLiu,2024-03-18 05:39:24.687917,0 days 00:00:00.005825
L,2024-03-18 05:39:24.694145,0 days 00:00:00.053106
LL,2024-03-18 05:39:24.747793,0 days 00:00:00.014225
Iuokun,2024-03-18 05:39:24.762476,0 days 00:00:00.006623
J,2024-03-18 05:39:24.769573,0 days 00:00:00.058854
T,2024-03-18 05:39:24.829038,0 days 00:00:00.020117
Iuakue,2024-03-18 05:39:24.849705,0 days 00:00:00.019100
Hud,2024-03-18 05:39:24.869271,0 days 00:00:00.067827
h],2024-03-18 05:39:24.937664,0 days 00:00:00.020187
Iuoku,2024-03-18 05:39:24.958421,0 days 00:00:00.019094
Tdt,2024-03-18 05:39:24.977940,0 days 00:00:00.071869
HQatua,2024-03-18 05:39:25.050382,0 days 00:00:00.018894
TLfl,2024-03-18 05:39:25.069821,0 days 00:00:00.018960
ML,2024-03-18 05:39:25.089220,0 days 00:00:00.067971
Ioolut,2024-03-18 05:39:25.157808,0 days 00:00:00.019069
TLai,2024-03-18 05:39:25.177357,0 days 00:00:00.018644
L,2024-03-18 05:39:25.196421,0 days 00:00:00.067837
VDOznn,2024-03-18 05:39:25.264819,0 days 00:00:00.019109
HLHL,2024-03-18 05:39:25.284376,0 days 00:00:00.018621
D,2024-03-18 05:39:25.303411,0 days 00:00:00.066321
[oan,2024-03-18 05:39:25.370296,0 days 00:00:00.019975
Te,2024-03-18 05:39:25.390788,0 days 00:00:00.018598
L],2024-03-18 05:39:25.409809,0 days 00:00:00.067282
IOu,2024-03-18 05:39:25.477650,0 days 00:00:00.018454
Tba,2024-03-18 05:39:25.496569,0 days 00:00:00.018986
Haen,2024-03-18 05:39:25.515974,0 days 00:00:00.061888
Mha,2024-03-18 05:39:25.578459,0 days 00:00:00.012423
9,2024-03-18 05:39:25.591394,0 days 00:00:00.012082
Ten,2024-03-18 05:39:25.604128,0 days 00:00:00.079552
tareu,2024-03-18 05:39:25.684462,0 days 00:00:00.020257
"""r",2024-03-18 05:39:25.705498,0 days 00:00:00.019611
L,2024-03-18 05:39:25.725742,0 days 00:00:00.073176
MDO=,2024-03-18 05:39:25.799539,0 days 00:00:00.019208
LEaM],2024-03-18 05:39:25.819304,0 days 00:00:00.018112
Lat,2024-03-18 05:39:25.837954,0 days 00:00:00.074522
ILOCDe,2024-03-18 05:39:25.913058,0 days 00:00:00.018673
LI],2024-03-18 05:39:25.932253,0 days 00:00:00.015340
Trar,2024-03-18 05:39:25.948044,0 days 00:00:00.067488
Hlldra,2024-03-18 05:39:26.016092,0 days 00:00:00.010176
Lal,2024-03-18 05:39:26.026718,0 days 00:00:00.014078
ILI,2024-03-18 05:39:26.041209,0 days 00:00:00.066621
MtDLEh,2024-03-18 05:39:26.108563,0 days 00:00:00.019572
O,2024-03-18 05:39:26.128623,0 days 00:00:00.014262
ILLI,2024-03-18 05:39:26.143292,0 days 00:00:00.067078
TL,2024-03-18 05:39:26.210929,0 days 00:00:00.022950
Voty,2024-03-18 05:39:26.234358,0 days 00:00:00.019099
H,2024-03-18 05:39:26.253886,0 days 00:00:00.067446
3,2024-03-18 05:39:26.321913,0 days 00:00:00.019498
ILA,2024-03-18 05:39:26.341882,0 days 00:00:00.022892
d4,2024-03-18 05:39:26.365214,0 days 00:00:00.066623
I,2024-03-18 05:39:26.432408,0 days 00:00:00.020184
el,2024-03-18 05:39:26.453063,0 days 00:00:00.022366
Toe,2024-03-18 05:39:26.475866,0 days 00:00:00.067441
3,2024-03-18 05:39:26.543864,0 days 00:00:00.009515
ILI,2024-03-18 05:39:26.553813,0 days 00:00:00.022533
An,2024-03-18 05:39:26.576765,0 days 00:00:00.067645
HA,2024-03-18 05:39:26.644985,0 days 00:00:00.018975
Io,2024-03-18 05:39:26.664406,0 days 00:00:00.067161
HELIT,2024-03-18 05:39:26.732140,0 days 00:00:00.019821
