Text,Date,Duration
Mr,2024-03-18 05:39:26.752437,0 days 00:00:00.067318
DEH,2024-03-18 05:39:26.820343,0 days 00:00:00.008193
La,2024-03-18 05:39:26.828980,0 days 00:00:00.057865
aM,2024-03-18 05:39:26.887468,0 days 00:00:00.019846
I4,2024-03-18 05:39:26.907784,0 days 00:00:00.066058
LLM,2024-03-18 05:39:26.974746,0 days 00:00:00.022961
IL,2024-03-18 05:39:26.998321,0 days 00:00:00.071068
E,2024-03-18 05:39:27.069990,0 days 00:00:00.014151
t,2024-03-18 05:39:27.084677,0 days 00:00:00.074564
HLA,2024-03-18 05:39:27.159867,0 days 00:00:00.018752
It4,2024-03-18 05:39:27.179140,0 days 00:00:00.073173
LrLaf],2024-03-18 05:39:27.252884,0 days 00:00:00.020631
tA,2024-03-18 05:39:27.274018,0 days 00:00:00.069024
3,2024-03-18 05:39:27.343603,0 days 00:00:00.018978
TELa,2024-03-18 05:39:27.363033,0 days 00:00:00.066150
HL,2024-03-18 05:39:27.429803,0 days 00:00:00.019300
Mea,2024-03-18 05:39:27.449625,0 days 00:00:00.067717
ELaf],2024-03-18 05:39:27.517933,0 days 00:00:00.019651
Iel,2024-03-18 05:39:27.538062,0 days 00:00:00.068266
Ll,2024-03-18 05:39:27.607124,0 days 00:00:00.013984
Mel,2024-03-18 05:39:27.621583,0 days 00:00:00.066538
Dn,2024-03-18 05:39:27.688716,0 days 00:00:00.014992
Hl,2024-03-18 05:39:27.704174,0 days 00:00:00.066734
tn,2024-03-18 05:39:27.771467,0 days 00:00:00.020205
Mnt,2024-03-18 05:39:27.792167,0 days 00:00:00.067850
TA,2024-03-18 05:39:27.860586,0 days 00:00:00.018931
Ila,2024-03-18 05:39:27.879972,0 days 00:00:00.067241
tron,2024-03-18 05:39:27.947789,0 days 00:00:00.020073
I,2024-03-18 05:39:27.968339,0 days 00:00:00.014242
Sn,2024-03-18 05:39:27.983008,0 days 00:00:00.066900
ttn,2024-03-18 05:39:28.050466,0 days 00:00:00.018767
Ilin,2024-03-18 05:39:28.069751,0 days 00:00:00.067198
HLLA,2024-03-18 05:39:28.137509,0 days 00:00:00.019452
T,2024-03-18 05:39:28.157423,0 days 00:00:00.066546
HLa,2024-03-18 05:39:28.224585,0 days 00:00:00.018492
Iet,2024-03-18 05:39:28.243569,0 days 00:00:00.080167
C,2024-03-18 05:39:28.324407,0 days 00:00:00.008895
In,2024-03-18 05:39:28.333796,0 days 00:00:00.071335
C,2024-03-18 05:39:28.405749,0 days 00:00:00.020182
Ie4,2024-03-18 05:39:28.426477,0 days 00:00:00.071535
IA,2024-03-18 05:39:28.498614,0 days 00:00:00.019280
It,2024-03-18 05:39:28.518430,0 days 00:00:00.070111
C,2024-03-18 05:39:28.589186,0 days 00:00:00.019665
IL,2024-03-18 05:39:28.609380,0 days 00:00:00.013373
3,2024-03-18 05:39:28.623209,0 days 00:00:00.067336
C,2024-03-18 05:39:28.691153,0 days 00:00:00.019438
E,2024-03-18 05:39:28.711041,0 days 00:00:00.067836
C,2024-03-18 05:39:28.779452,0 days 00:00:00.018824
HLA,2024-03-18 05:39:28.798748,0 days 00:00:00.066482
C,2024-03-18 05:39:28.865807,0 days 00:00:00.015044
Et,2024-03-18 05:39:28.881349,0 days 00:00:00.067199
L,2024-03-18 05:39:28.949110,0 days 00:00:00.018698
4,2024-03-18 05:39:28.968265,0 days 00:00:00.018597
37,2024-03-18 05:39:28.987287,0 days 00:00:00.067165
7,2024-03-18 05:39:29.055008,0 days 00:00:00.020295
ln,2024-03-18 05:39:29.075816,0 days 00:00:00.066532
79,2024-03-18 05:39:29.142946,0 days 00:00:00.020262
It,2024-03-18 05:39:29.163698,0 days 00:00:00.014617
L,2024-03-18 05:39:29.178822,0 days 00:00:00.066916
0,2024-03-18 05:39:29.246332,0 days 00:00:00.019961
In,2024-03-18 05:39:29.266765,0 days 00:00:00.015086
F ,2024-03-18 05:39:29.282367,0 days 00:00:00.067747
HA,2024-03-18 05:39:29.350675,0 days 00:00:00.019750
IL,2024-03-18 05:39:29.370894,0 days 00:00:00.014676
E,2024-03-18 05:39:29.385997,0 days 00:00:00.068040
HEALa,2024-03-18 05:39:29.454598,0 days 00:00:00.019472
IT,2024-03-18 05:39:29.474533,0 days 00:00:00.014129
c4,2024-03-18 05:39:29.489079,0 days 00:00:00.068080
C,2024-03-18 05:39:29.557765,0 days 00:00:00.018999
IE,2024-03-18 05:39:29.577411,0 days 00:00:00.014829
1,2024-03-18 05:39:29.592958,0 days 00:00:00.076806
ean,2024-03-18 05:39:29.670373,0 days 00:00:00.019105
It,2024-03-18 05:39:29.690059,0 days 00:00:00.013845
L,2024-03-18 05:39:29.704420,0 days 00:00:00.072898
It,2024-03-18 05:39:29.777932,0 days 00:00:00.018389
Ut,2024-03-18 05:39:29.796848,0 days 00:00:00.014043
E=,2024-03-18 05:39:29.811402,0 days 00:00:00.071773
El,2024-03-18 05:39:29.883744,0 days 00:00:00.020246
Da,2024-03-18 05:39:29.904497,0 days 00:00:00.008225
i,2024-03-18 05:39:29.913150,0 days 00:00:00.067883
Ih,2024-03-18 05:39:29.981640,0 days 00:00:00.014876
L,2024-03-18 05:39:29.996985,0 days 00:00:00.056814
I,2024-03-18 05:39:30.054426,0 days 00:00:00.015526
L,2024-03-18 05:39:30.070406,0 days 00:00:00.067285
I,2024-03-18 05:39:30.138284,0 days 00:00:00.015017
R,2024-03-18 05:39:30.153763,0 days 00:00:00.014906
L,2024-03-18 05:39:30.169105,0 days 00:00:00.067384
IE,2024-03-18 05:39:30.237134,0 days 00:00:00.015372
L,2024-03-18 05:39:30.252957,0 days 00:00:00.018762
3,2024-03-18 05:39:30.272141,0 days 00:00:00.066733
IEan,2024-03-18 05:39:30.339578,0 days 00:00:00.014532
Koa,2024-03-18 05:39:30.354572,0 days 00:00:00.014300
C,2024-03-18 05:39:30.369283,0 days 00:00:00.067824
I6c,2024-03-18 05:39:30.437678,0 days 00:00:00.015709
at,2024-03-18 05:39:30.453847,0 days 00:00:00.014095
O,2024-03-18 05:39:30.468390,0 days 00:00:00.067246
In,2024-03-18 05:39:30.536223,0 days 00:00:00.008577
L,2024-03-18 05:39:30.545389,0 days 00:00:00.014381
D,2024-03-18 05:39:30.560178,0 days 00:00:00.067084
L,2024-03-18 05:39:30.642957,0 days 00:00:00.013714
C 4,2024-03-18 05:39:30.657153,0 days 00:00:00.066761
IX,2024-03-18 05:39:30.724653,0 days 00:00:00.014021
a,2024-03-18 05:39:30.739184,0 days 00:00:00.015043
S,2024-03-18 05:39:30.754655,0 days 00:00:00.068472
04e4,2024-03-18 05:39:30.823695,0 days 00:00:00.014451
En,2024-03-18 05:39:30.838585,0 days 00:00:00.019122
(4,2024-03-18 05:39:30.858134,0 days 00:00:00.075604
H,2024-03-18 05:39:30.934543,0 days 00:00:00.017146
t,2024-03-18 05:39:30.952361,0 days 00:00:00.014876
I',2024-03-18 05:39:30.967775,0 days 00:00:00.071649
Li,2024-03-18 05:39:31.040186,0 days 00:00:00.007204
[,2024-03-18 05:39:31.047891,0 days 00:00:00.013935
S,2024-03-18 05:39:31.062319,0 days 00:00:00.070966
Hal,2024-03-18 05:39:31.133895,0 days 00:00:00.014583
(,2024-03-18 05:39:31.149003,0 days 00:00:00.013591
0=,2024-03-18 05:39:31.163146,0 days 00:00:00.070298
Fe4,2024-03-18 05:39:31.234014,0 days 00:00:00.015478
L,2024-03-18 05:39:31.249956,0 days 00:00:00.014216
Ua,2024-03-18 05:39:31.264635,0 days 00:00:00.066569
ut,2024-03-18 05:39:31.331767,0 days 00:00:00.015492
(4,2024-03-18 05:39:31.347704,0 days 00:00:00.014231
U4,2024-03-18 05:39:31.362348,0 days 00:00:00.067993
Ieata,2024-03-18 05:39:31.430910,0 days 00:00:00.007033
[,2024-03-18 05:39:31.438366,0 days 00:00:00.057751
t,2024-03-18 05:39:31.496686,0 days 00:00:00.015026
E,2024-03-18 05:39:31.512170,0 days 00:00:00.015134
U,2024-03-18 05:39:31.527736,0 days 00:00:00.066727
Ft,2024-03-18 05:39:31.595074,0 days 00:00:00.014538
Gea,2024-03-18 05:39:31.610054,0 days 00:00:00.067059
a,2024-03-18 05:39:31.677705,0 days 00:00:00.071807
h,2024-03-18 05:39:31.750091,0 days 00:00:00.015276
L.,2024-03-18 05:39:31.765830,0 days 00:00:00.067081
Cc,2024-03-18 05:39:31.833480,0 days 00:00:00.014963
Eui,2024-03-18 05:39:31.848905,0 days 00:00:00.014516
U,2024-03-18 05:39:31.863836,0 days 00:00:00.066398
Teal,2024-03-18 05:39:31.930799,0 days 00:00:00.015361
Clf,2024-03-18 05:39:31.946621,0 days 00:00:00.014032
L,2024-03-18 05:39:31.961069,0 days 00:00:00.066177
IC4e,2024-03-18 05:39:32.027804,0 days 00:00:00.007096
L1,2024-03-18 05:39:32.035322,0 days 00:00:00.015166
F,2024-03-18 05:39:32.050917,0 days 00:00:00.013911
S,2024-03-18 05:39:32.065229,0 days 00:00:00.067683
64S,2024-03-18 05:39:32.133481,0 days 00:00:00.019890
C .,2024-03-18 05:39:32.153842,0 days 00:00:00.014699
Naa,2024-03-18 05:39:32.169026,0 days 00:00:00.074977
e4ch,2024-03-18 05:39:32.244767,0 days 00:00:00.017143
C .,2024-03-18 05:39:32.262578,0 days 00:00:00.018770
M,2024-03-18 05:39:32.281861,0 days 00:00:00.072007
24,2024-03-18 05:39:32.354459,0 days 00:00:00.017890
6 .,2024-03-18 05:39:32.373015,0 days 00:00:00.019053
VeL,2024-03-18 05:39:32.392637,0 days 00:00:00.075823
Ia,2024-03-18 05:39:32.469076,0 days 00:00:00.019732
Een,2024-03-18 05:39:32.489451,0 days 00:00:00.018901
Jaa,2024-03-18 05:39:32.508805,0 days 00:00:00.070781
aal,2024-03-18 05:39:32.580212,0 days 00:00:00.018781
"C,",2024-03-18 05:39:32.599498,0 days 00:00:00.018285
ET,2024-03-18 05:39:32.618211,0 days 00:00:00.056569
a,2024-03-18 05:39:32.675443,0 days 00:00:00.014780
EE -,2024-03-18 05:39:32.690838,0 days 00:00:00.019053
Ln,2024-03-18 05:39:32.710326,0 days 00:00:00.056776
L,2024-03-18 05:39:32.767719,0 days 00:00:00.019707
( .,2024-03-18 05:39:32.787907,0 days 00:00:00.015163
A,2024-03-18 05:39:32.803504,0 days 00:00:00.067352
Ia,2024-03-18 05:39:32.871419,0 days 00:00:00.015398
i,2024-03-18 05:39:32.887281,0 days 00:00:00.058079
a,2024-03-18 05:39:32.945938,0 days 00:00:00.015370
C.,2024-03-18 05:39:32.961773,0 days 00:00:00.019212
"7""",2024-03-18 05:39:32.981413,0 days 00:00:00.018436
Fa,2024-03-18 05:39:33.000278,0 days 00:00:00.066254
Rch,2024-03-18 05:39:33.067100,0 days 00:00:00.015055
So .,2024-03-18 05:39:33.082615,0 days 00:00:00.067618
ual,2024-03-18 05:39:33.150802,0 days 00:00:00.014516
" ,",2024-03-18 05:39:33.165780,0 days 00:00:00.018267
M,2024-03-18 05:39:33.184475,0 days 00:00:00.057960
Ia,2024-03-18 05:39:33.243009,0 days 00:00:00.020091
M,2024-03-18 05:39:33.263568,0 days 00:00:00.014851
" ,",2024-03-18 05:39:33.278831,0 days 00:00:00.067907
184,2024-03-18 05:39:33.347321,0 days 00:00:00.019360
De,2024-03-18 05:39:33.367146,0 days 00:00:00.014363
Cn,2024-03-18 05:39:33.381972,0 days 00:00:00.067819
Ie,2024-03-18 05:39:33.450369,0 days 00:00:00.015163
Ce.,2024-03-18 05:39:33.466025,0 days 00:00:00.014270
Ia,2024-03-18 05:39:33.480707,0 days 00:00:00.062158
a,2024-03-18 05:39:33.543779,0 days 00:00:00.017140
f,2024-03-18 05:39:33.561772,0 days 00:00:00.022137
H,2024-03-18 05:39:33.584640,0 days 00:00:00.073882
16,2024-03-18 05:39:33.659134,0 days 00:00:00.014270
a,2024-03-18 05:39:33.673924,0 days 00:00:00.018095
Te,2024-03-18 05:39:33.692554,0 days 00:00:00.071928
t,2024-03-18 05:39:33.765086,0 days 00:00:00.019311
C#,2024-03-18 05:39:33.784921,0 days 00:00:00.018384
A,2024-03-18 05:39:33.803852,0 days 00:00:00.070535
Iua,2024-03-18 05:39:33.874948,0 days 00:00:00.014211
Ei,2024-03-18 05:39:33.889607,0 days 00:00:00.019552
A,2024-03-18 05:39:33.909577,0 days 00:00:00.067290
14a,2024-03-18 05:39:33.977495,0 days 00:00:00.018560
C .,2024-03-18 05:39:33.996523,0 days 00:00:00.018240
N,2024-03-18 05:39:34.015188,0 days 00:00:00.067252
Ial,2024-03-18 05:39:34.082999,0 days 00:00:00.018674
E9,2024-03-18 05:39:34.102138,0 days 00:00:00.018906
I,2024-03-18 05:39:34.121468,0 days 00:00:00.013899
l,2024-03-18 05:39:34.135832,0 days 00:00:00.014318
3,2024-03-18 05:39:34.150556,0 days 00:00:00.062944
Ca,2024-03-18 05:39:34.214064,0 days 00:00:00.019958
ala,2024-03-18 05:39:34.234490,0 days 00:00:00.019170
H,2024-03-18 05:39:34.254092,0 days 00:00:00.010234
S,2024-03-18 05:39:34.264727,0 days 00:00:00.062609
Iea,2024-03-18 05:39:34.327955,0 days 00:00:00.013244
C:,2024-03-18 05:39:34.341656,0 days 00:00:00.016259
K,2024-03-18 05:39:34.358334,0 days 00:00:00.066869
Iie,2024-03-18 05:39:34.425783,0 days 00:00:00.019466
Ne,2024-03-18 05:39:34.445704,0 days 00:00:00.013959
 .,2024-03-18 05:39:34.460078,0 days 00:00:00.067320
tel,2024-03-18 05:39:34.527965,0 days 00:00:00.019165
N,2024-03-18 05:39:34.547584,0 days 00:00:00.013751
Ce.,2024-03-18 05:39:34.561758,0 days 00:00:00.013886
d,2024-03-18 05:39:34.576037,0 days 00:00:00.013150
Ll,2024-03-18 05:39:34.589601,0 days 00:00:00.067990
6l,2024-03-18 05:39:34.658174,0 days 00:00:00.014240
.,2024-03-18 05:39:34.672875,0 days 00:00:00.018864
I,2024-03-18 05:39:34.692204,0 days 00:00:00.019011
aatd,2024-03-18 05:39:34.711653,0 days 00:00:00.006907
C,2024-03-18 05:39:34.718962,0 days 00:00:00.067668
16a,2024-03-18 05:39:34.787193,0 days 00:00:00.020052
D,2024-03-18 05:39:34.807728,0 days 00:00:00.013961
 a,2024-03-18 05:39:34.822118,0 days 00:00:00.013279
J,2024-03-18 05:39:34.835807,0 days 00:00:00.078578
164,2024-03-18 05:39:34.914984,0 days 00:00:00.017323
C ^,2024-03-18 05:39:34.932823,0 days 00:00:00.019094
U,2024-03-18 05:39:34.952450,0 days 00:00:00.013453
o,2024-03-18 05:39:34.966434,0 days 00:00:00.072142
Hua,2024-03-18 05:39:35.039193,0 days 00:00:00.014692
l,2024-03-18 05:39:35.054422,0 days 00:00:00.018230
Kn,2024-03-18 05:39:35.073191,0 days 00:00:00.013943
C :,2024-03-18 05:39:35.087647,0 days 00:00:00.072021
Ied,2024-03-18 05:39:35.160256,0 days 00:00:00.014277
euo,2024-03-18 05:39:35.174985,0 days 00:00:00.014352
Ciro,2024-03-18 05:39:35.189765,0 days 00:00:00.018815
A,2024-03-18 05:39:35.209002,0 days 00:00:00.067804
alon,2024-03-18 05:39:35.277368,0 days 00:00:00.018704
Hug,2024-03-18 05:39:35.296527,0 days 00:00:00.013696
Caro,2024-03-18 05:39:35.310643,0 days 00:00:00.013243
H,2024-03-18 05:39:35.324284,0 days 00:00:00.018083
En,2024-03-18 05:39:35.342764,0 days 00:00:00.067060
HLaua,2024-03-18 05:39:35.410391,0 days 00:00:00.019098
Hunkh,2024-03-18 05:39:35.429959,0 days 00:00:00.014441
Cero,2024-03-18 05:39:35.444819,0 days 00:00:00.017883
Ft,2024-03-18 05:39:35.463111,0 days 00:00:00.068598
Hun,2024-03-18 05:39:35.532281,0 days 00:00:00.019003
Cnna,2024-03-18 05:39:35.551735,0 days 00:00:00.017504
Lta,2024-03-18 05:39:35.569658,0 days 00:00:00.007327
C,2024-03-18 05:39:35.577396,0 days 00:00:00.013718
U,2024-03-18 05:39:35.591516,0 days 00:00:00.013431
Cr,2024-03-18 05:39:35.605341,0 days 00:00:00.070869
Hun,2024-03-18 05:39:35.676784,0 days 00:00:00.019218
Era,2024-03-18 05:39:35.696453,0 days 00:00:00.019010
GJ,2024-03-18 05:39:35.715887,0 days 00:00:00.009040
T,2024-03-18 05:39:35.725349,0 days 00:00:00.013899
C,2024-03-18 05:39:35.739657,0 days 00:00:00.065973
uch,2024-03-18 05:39:35.806297,0 days 00:00:00.014512
Io,2024-03-18 05:39:35.821276,0 days 00:00:00.019409
U,2024-03-18 05:39:35.841110,0 days 00:00:00.018558
G,2024-03-18 05:39:35.860087,0 days 00:00:00.067352
uch,2024-03-18 05:39:35.928010,0 days 00:00:00.009513
aa,2024-03-18 05:39:35.937957,0 days 00:00:00.014072
U,2024-03-18 05:39:35.952441,0 days 00:00:00.013546
N,2024-03-18 05:39:35.966430,0 days 00:00:00.018242
3E,2024-03-18 05:39:35.985081,0 days 00:00:00.062284
ee,2024-03-18 05:39:36.047922,0 days 00:00:00.010204
Hulc,2024-03-18 05:39:36.058648,0 days 00:00:00.013759
Cn,2024-03-18 05:39:36.072880,0 days 00:00:00.018598
K,2024-03-18 05:39:36.091877,0 days 00:00:00.058382
u,2024-03-18 05:39:36.151013,0 days 00:00:00.010931
Iua,2024-03-18 05:39:36.162657,0 days 00:00:00.015934
C,2024-03-18 05:39:36.179322,0 days 00:00:00.018964
T,2024-03-18 05:39:36.198875,0 days 00:00:00.059664
uu,2024-03-18 05:39:36.259173,0 days 00:00:00.018848
Ie,2024-03-18 05:39:36.278564,0 days 00:00:00.014750
R,2024-03-18 05:39:36.293853,0 days 00:00:00.018785
Itn,2024-03-18 05:39:36.313182,0 days 00:00:00.072850
HUIU,2024-03-18 05:39:36.386658,0 days 00:00:00.020079
MLn (,2024-03-18 05:39:36.407331,0 days 00:00:00.018683
K,2024-03-18 05:39:36.426494,0 days 00:00:00.013588
Cae,2024-03-18 05:39:36.440520,0 days 00:00:00.057843
u,2024-03-18 05:39:36.498951,0 days 00:00:00.019506
K,2024-03-18 05:39:36.518935,0 days 00:00:00.014284
Ct,2024-03-18 05:39:36.533648,0 days 00:00:00.014001
Ta,2024-03-18 05:39:36.548048,0 days 00:00:00.057602
lu,2024-03-18 05:39:36.606311,0 days 00:00:00.019087
Pn,2024-03-18 05:39:36.625862,0 days 00:00:00.013474
Lala,2024-03-18 05:39:36.639780,0 days 00:00:00.067636
Atn,2024-03-18 05:39:36.708084,0 days 00:00:00.020377
An,2024-03-18 05:39:36.728939,0 days 00:00:00.019164
Lalth,2024-03-18 05:39:36.748569,0 days 00:00:00.069940
F,2024-03-18 05:39:36.819041,0 days 00:00:00.068309
Qalh,2024-03-18 05:39:36.887922,0 days 00:00:00.020325
Mattan,2024-03-18 05:39:36.908732,0 days 00:00:00.018764
Kn,2024-03-18 05:39:36.928008,0 days 00:00:00.061988
Cina,2024-03-18 05:39:36.990584,0 days 00:00:00.018879
D,2024-03-18 05:39:37.009908,0 days 00:00:00.022186
Fn,2024-03-18 05:39:37.032520,0 days 00:00:00.066870
A,2024-03-18 05:39:37.099947,0 days 00:00:00.019071
Daith,2024-03-18 05:39:37.119487,0 days 00:00:00.018876
Jn,2024-03-18 05:39:37.138804,0 days 00:00:00.068102
Cef,2024-03-18 05:39:37.207528,0 days 00:00:00.019211
A,2024-03-18 05:39:37.227204,0 days 00:00:00.069672
Laih,2024-03-18 05:39:37.297451,0 days 00:00:00.019055
I,2024-03-18 05:39:37.316964,0 days 00:00:00.066893
L,2024-03-18 05:39:37.384419,0 days 00:00:00.019582
A,2024-03-18 05:39:37.404470,0 days 00:00:00.068678
Letu,2024-03-18 05:39:37.473978,0 days 00:00:00.021259
1,2024-03-18 05:39:37.495991,0 days 00:00:00.075095
1n,2024-03-18 05:39:37.571705,0 days 00:00:00.014479
Celi,2024-03-18 05:39:37.586738,0 days 00:00:00.013903
1,2024-03-18 05:39:37.601198,0 days 00:00:00.072597
Sn,2024-03-18 05:39:37.674480,0 days 00:00:00.013493
Ed,2024-03-18 05:39:37.688515,0 days 00:00:00.013884
1,2024-03-18 05:39:37.702908,0 days 00:00:00.013855
2,2024-03-18 05:39:37.717290,0 days 00:00:00.065175
Ga,2024-03-18 05:39:37.783040,0 days 00:00:00.020209
A,2024-03-18 05:39:37.803723,0 days 00:00:00.014799
U,2024-03-18 05:39:37.818942,0 days 00:00:00.066431
